Timestamp,Retweets,Posts,Frequency
31/5/2022,12,2,14
30/5/2022,25,3,28
29/5/2022,57,36,93
28/5/2022,35,22,57
27/5/2022,49,12,61
26/5/2022,62,38,100
25/5/2022,39,22,61
24/5/2022,90,28,118
23/5/2022,54,10,64
22/5/2022,19,25,44
21/5/2022,64,19,83
20/5/2022,63,36,99
19/5/2022,126,83,209
18/5/2022,33,16,49
17/5/2022,81,31,112
16/5/2022,88,19,107
15/5/2022,41,55,96
14/5/2022,65,57,122
13/5/2022,129,184,313
12/5/2022,144,195,339
11/5/2022,109,97,206
10/5/2022,143,94,237
9/5/2022,133,107,240
8/5/2022,83,68,151
7/5/2022,84,7,91
6/5/2022,24,9,33
5/5/2022,53,56,109
